rank	word	count
1	up	26
2	arrow	20
3	it's	19
4	body	16
5	one	15
6	mista	13
7	that's	13
8	all	12
9	stand	11
10	from	11
11	can	10
12	where	10
13	going	10
14	narancia	10
15	out	10
16	diavolo	10
17	now	10
18	get	10
19	trish	9
20	don't	9
21	bucciarati	9
22	if	9
23	two	8
24	i'm	8
25	he's	8
26	there	8
27	swapped	7
28	boss	7
29	way	7
30	then	7
31	over	7
32	pick	7
33	hurry	7
34	why	7
35	requiem	6
36	you're	6
37	already	6
38	number	6
39	come	6
40	can't	6
41	gone	6
42	back	6
43	again	6
44	minds	5
45	time	5
46	after	5
47	as	5
48	go	5
49	hasn't	5
50	b*ll*ts	5
