rank	word	count
1	if	21
2	it's	20
3	one	20
4	can	20
5	arrow	19
6	because	16
7	i'm	16
8	time	15
9	mista	15
10	requiem	15
11	body	14
12	get	14
13	that's	13
14	going	12
15	he's	12
16	from	12
17	out	11
18	closer	11
19	only	10
20	up	10
21	way	10
22	b*ll*ts	10
23	now	10
24	boss	9
25	you're	9
26	giorno	9
27	away	9
28	polnareff	9
29	able	9
30	right	9
31	shadow	9
32	there	8
33	g*n	8
34	how	8
35	still	8
36	stay	8
37	moment	7
38	soul	7
39	said	7
40	we're	7
41	all	7
42	there's	7
43	ability	7
44	starting	7
45	trish	7
46	got	6
47	diavolo	6
48	can't	6
49	why	6
50	let	6
