rank	word	count
1	useless	24
2	arrow	21
3	giorno	17
4	can	13
5	don't	12
6	who	12
7	requiem	12
8	wha	12
9	one	11
10	all	11
11	it's	9
12	going	9
13	am	9
14	golden	9
15	if	8
16	only	8
17	now	8
18	time	8
19	wind	8
20	that's	8
21	i'm	8
22	truth	8
23	from	7
24	way	7
25	away	7
26	emperor	7
27	crimson	7
28	fate	6
29	power	6
30	didn't	6
31	predict	6
32	bucciarati	6
33	about	6
34	premonition	6
35	giovanna	6
36	see	6
37	chosen	5
38	myself	5
39	world	5
40	king	5
41	into	5
42	soul	5
43	by	5
44	can't	5
45	even	5
46	you're	5
47	back	5
48	how	5
49	go	5
50	i've	5
