rank	word	count
1	about	14
2	useless	13
3	right	13
4	don't	12
5	like	12
6	why	11
7	up	11
8	daughter	11
9	rock	11
10	eat	10
11	mista	10
12	can	10
13	all	10
14	where	10
15	i'm	10
16	if	9
17	here	9
18	hey	9
19	into	9
20	it's	9
21	can't	9
22	am	9
23	want	8
24	never	8
25	that's	8
26	make	8
27	come	7
28	go	7
29	know	7
30	how	7
31	i'll	7
32	who	7
33	he's	7
34	only	7
35	out	6
36	talk	6
37	body	6
38	you're	6
39	stand	6
40	there	6
41	sure	6
42	back	6
43	bucciarati	6
44	actually	6
45	hell	5
46	get	5
47	golden	5
48	wind	5
49	see	5
50	find	5
