manga_title	speaker	balloon_count
JoJo's Bizarre Adventure Part 5: Golden Wind - GOLD EXPERIANCE REQUIEM PART 3	diavolo	98
JoJo's Bizarre Adventure Part 5: Golden Wind - GOLD EXPERIANCE REQUIEM PART 3	giorno	13
JoJo's Bizarre Adventure Part 5: Golden Wind - GOLD EXPERIANCE REQUIEM PART 3	drug_addict_1	13
JoJo's Bizarre Adventure Part 5: Golden Wind - GOLD EXPERIANCE REQUIEM PART 3	female_pathologist	10
JoJo's Bizarre Adventure Part 5: Golden Wind - GOLD EXPERIANCE REQUIEM PART 3	giorno gold_experience_requiem	8
JoJo's Bizarre Adventure Part 5: Golden Wind - GOLD EXPERIANCE REQUIEM PART 3	mista	8
JoJo's Bizarre Adventure Part 5: Golden Wind - GOLD EXPERIANCE REQUIEM PART 3	trish	5
JoJo's Bizarre Adventure Part 5: Golden Wind - GOLD EXPERIANCE REQUIEM PART 3	trish mista	5
JoJo's Bizarre Adventure Part 5: Golden Wind - GOLD EXPERIANCE REQUIEM PART 3	old_man_1	5
JoJo's Bizarre Adventure Part 5: Golden Wind - GOLD EXPERIANCE REQUIEM PART 3	female_pathologist	3
JoJo's Bizarre Adventure Part 5: Golden Wind - GOLD EXPERIANCE REQUIEM PART 3	king_crimson diavolo	2
JoJo's Bizarre Adventure Part 5: Golden Wind - GOLD EXPERIANCE REQUIEM PART 3	small_girl_1	2
JoJo's Bizarre Adventure Part 5: Golden Wind - GOLD EXPERIANCE REQUIEM PART 3	mista trish	1
