manga_title	speaker	balloon_count
JoJo's Bizarre Adventure Part 5: Golden Wind - DIAVOLO EMERGES PART 5	king_crimson	30
JoJo's Bizarre Adventure Part 5: Golden Wind - DIAVOLO EMERGES PART 5	mista	20
JoJo's Bizarre Adventure Part 5: Golden Wind - DIAVOLO EMERGES PART 5	diavolo->buccellati	14
JoJo's Bizarre Adventure Part 5: Golden Wind - DIAVOLO EMERGES PART 5	giorno	10
JoJo's Bizarre Adventure Part 5: Golden Wind - DIAVOLO EMERGES PART 5	bucciarati	9
JoJo's Bizarre Adventure Part 5: Golden Wind - DIAVOLO EMERGES PART 5	buccellati	7
JoJo's Bizarre Adventure Part 5: Golden Wind - DIAVOLO EMERGES PART 5	trish->mista	3
JoJo's Bizarre Adventure Part 5: Golden Wind - DIAVOLO EMERGES PART 5	trish	3
JoJo's Bizarre Adventure Part 5: Golden Wind - DIAVOLO EMERGES PART 5	sex_pistol	2
JoJo's Bizarre Adventure Part 5: Golden Wind - DIAVOLO EMERGES PART 5	sex_pistols	2
JoJo's Bizarre Adventure Part 5: Golden Wind - DIAVOLO EMERGES PART 5	mista->trish	1
