rank	word	count
1	pant	16
2	muda	10
3	where	10
4	ugh	8
5	still	7
6	come	7
7	gold	6
8	experience	6
9	body	6
10	coat	6
11	huh	6
12	take	6
13	can't	6
14	am	6
15	reality	4
16	find	4
17	requiem	4
18	move	4
19	uhehe	4
20	bring	4
21	hehe	4
22	ah	4
23	death	4
24	never	3
25	anywhere	3
26	giorno	3
27	agh	3
28	kuh	3
29	roma	3
30	don't	3
31	pain	3
32	river	3
33	entire	3
34	doing	3
35	dream	3
36	time	3
37	look	3
38	like	3
39	requiem's	3
40	haah	3
41	especially	2
42	goddamn	2
43	kid	2
44	mudaa	2
45	mudaaaaa	2
46	arrow	2
47	either	2
48	king	2
49	crimson	2
50	floating	2
