rank	word	count
1	arrow	8
2	body	5
3	buccellati	5
4	trish's	4
5	soul	4
6	king	4
7	done	3
8	diavolo	3
9	life	3
10	ugh	3
11	he's	2
12	flying	2
13	i'm	2
14	emerges	2
15	part	2
16	trish	2
17	take	2
18	crimson's	2
19	hands	2
20	didn't	2
21	destroy	2
22	requiem	2
23	behind	2
24	because	2
25	stop	2
26	giorno	2
27	came	2
28	coliseum	2
29	dare	2
30	punched	1
31	though	1
32	it's	1
33	away	1
34	h...her	1
35	disappear-ing	1
36	sky	1
37	oooooooooooooooooooooohhhhhhhhhh	1
38	mine	1
39	crimson	1
40	apex	1
41	world	1
42	power	1
43	gift	1
44	fate	1
45	pierced	1
46	crack!crack!crack	1
47	crack	1
48	pierce	1
49	w...what	1
50	something's	1
