rank	word	count
1	body	15
2	arrow	12
3	he's	11
4	giorno	9
5	king	8
6	crimson	8
7	right	8
8	it's	8
9	any	7
10	boss	7
11	diavolo	5
12	only	5
13	check	5
14	stand	5
15	hiding	4
16	possessing	4
17	can't	4
18	time	4
19	turtle	4
20	first	4
21	you're	4
22	i'll	4
23	i'm	4
24	off	4
25	inside	3
26	dominate	3
27	killed	3
28	isn't	3
29	polnareff	3
30	mista	3
31	energy	3
32	soul	3
33	you've	3
34	before	3
35	huh	3
36	narancia	3
37	died	3
38	sure	3
39	stop	3
40	closer	3
41	telling	3
42	way	3
43	advantage	2
44	completely	2
45	emerges	2
46	part	2
47	because	2
48	control	2
49	closest	2
50	that's	2
