rank	word	count
1	arrow	23
2	crack	10
3	run	8
4	giorno	7
5	away	6
6	king	5
7	damn	5
8	gold	5
9	experience	5
10	woof	4
11	fate	4
12	crimson	4
13	am	4
14	retreat	4
15	he's	4
16	pride	4
17	emperor	4
18	power	4
19	didn't	4
20	you've	4
21	don't	3
22	diavolo	3
23	trying	3
24	good	3
25	thing	3
26	forecast	3
27	going	2
28	ogyah	2
29	soldiers	2
30	chosen	2
31	hm	2
32	world	2
33	truth	2
34	ability	2
35	erase	2
36	precognize	2
37	apex	2
38	dare	2
39	isn't	2
40	hands	2
41	myself	2
42	let	2
43	remain	2
44	beyond	2
45	giorno's	2
46	wrong	2
47	daughter	2
48	insulted	2
49	wouldn't	2
50	ahahahahaha	2
